State,LGA,Ward,Ballots Issued,Ballots Used,Invalid Votes,Total Accredited,Total Registered,Valid Votes,Polling Units
RIVERS,KHANA,LLUEKU/NYOKURU,0,0,0,0,0,0,21
RIVERS,KHANA,LORRE/LUEBE/KPAA,0,0,0,0,0,0,18
RIVERS,KHANA,OKWALI,0,0,0,0,0,0,12
RIVERS,KHANA,OPUOKO/KALAOKO,0,0,0,0,0,0,26
RIVERS,KHANA,SII/BETEM/KBAABBE,0,0,0,0,0,0,16
RIVERS,KHANA,SOGHO,0,0,0,0,0,0,18
RIVERS,KHANA,TAABAA,0,0,0,0,0,0,14
RIVERS,KHANA,UEGWERE,0,0,0,0,0,0,11
RIVERS,KHANA,WIIYAA KARA,0,0,0,0,0,0,20
RIVERS,KHANA,ZAAKPORI,0,0,0,0,0,0,12
RIVERS,OPOBO/NEKORO,DAPPAYE AMA-KIRI I,0,0,0,0,0,0,12
RIVERS,OPOBO/NEKORO,DAPPAYE AMA-KIRI II,0,0,0,0,0,0,16
RIVERS,OPOBO/NEKORO,DIEPIRI,0,0,0,0,0,0,20
RIVERS,OPOBO/NEKORO,JAJA,0,0,0,0,0,0,28
RIVERS,OPOBO/NEKORO,KALAIBIAMA I,0,0,0,0,0,0,17
RIVERS,OPOBO/NEKORO,KALAIBIAMA II,0,0,0,0,0,0,14
RIVERS,OPOBO/NEKORO,NKORO I,0,0,0,0,0,0,8
RIVERS,OPOBO/NEKORO,NKORO II,0,0,0,0,0,0,9
RIVERS,OPOBO/NEKORO,NKORO III,0,0,0,0,0,0,7
RIVERS,OPOBO/NEKORO,QUEENS TOWN KALAMA,0,0,0,0,0,0,12
RIVERS,OPOBO/NEKORO,UKONU,0,0,0,0,0,0,11
RIVERS,OYIGBO,ASA,0,0,0,0,0,0,15
RIVERS,OYIGBO,AZUOGU,0,0,0,0,0,0,6
RIVERS,OYIGBO,EGBURU,0,0,0,0,0,0,16
RIVERS,OYIGBO,KOMKOM,0,0,0,0,0,0,31
RIVERS,OYIGBO,OBEAKPU,0,0,0,0,0,0,19
RIVERS,OYIGBO,OBETE,0,0,0,0,0,0,10
RIVERS,OYIGBO,OKOLOMA,0,0,0,0,0,0,20
RIVERS,OYIGBO,OYIGBO CENTRAL,0,0,0,0,0,0,46
RIVERS,OYIGBO,OYIGBO WEST,0,0,0,0,0,0,38
RIVERS,OYIGBO,UMUAGBAI,0,0,0,0,0,0,16
RIVERS,TAI,BAN-OGOI,0,0,0,0,0,0,10
RIVERS,TAI,BOTEM/GBENEO,0,0,0,0,0,0,12
RIVERS,TAI,BUBU/BARA/KANI,0,0,0,0,0,0,9
RIVERS,TAI,GIO/KPORGHOR/GBAM,0,0,0,0,0,0,10
RIVERS,TAI,KIRA/BOROBARA,0,0,0,0,0,0,14
RIVERS,TAI,KOROKORO,0,0,0,0,0,0,10
RIVERS,TAI,KOROMA/HORO,0,0,0,0,0,0,22
RIVERS,TAI,KPITE,0,0,0,0,0,0,16
RIVERS,TAI,NONWA,0,0,0,0,0,0,24
RIVERS,TAI,OYIGBO WEST,0,0,0,0,0,0,14
